 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s265ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s270ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s265ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s278ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s273ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s265ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s262ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s279ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s276ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s270ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 11ms | Tot: 1s247ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s227ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s251ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s221ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s262ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s275ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s270ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s592ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s270ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s257ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s248ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
 [=========================== 100/100 ============================>]  Step: 12ms | Tot: 1s222ms | Loss: 2.303 | Acc: 10.000% (1000/10000) 
